MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Kuklík,Žďár nad Sázavou,Kuklíku,"49.62995999,16.11318351"
Líšná,Žďár nad Sázavou,Líšné,"49.64020845,16.15109194"
Malhostovice,Brno-venkov,Malhostovicích,"49.33362803,16.50224014"
Maršov,Brno-venkov,Maršově,"49.28371301,16.35977038"
Medlov,Brno-venkov,Medlově,"49.03511963,16.52238453"
Moravské Knínice,Brno-venkov,Moravských Knínicích,"49.29331105,16.50175615"
Moutnice,Brno-venkov,Moutnici; Moutnicích,"49.04926233,16.73742162"
Němčičky,Brno-venkov,Němčičkách,"49.05040693,16.50060346"
Odrovice,Brno-venkov,Odrovicích,"49.01083750,16.50902005"
Omice,Brno-venkov,Omicích,"49.16996424,16.45174349"
Opatovice,Brno-venkov,Opatovicích,"49.07505851,16.64098316"
Úhřetická Lhota,Pardubice,Úhřetické Lhotě,"49.98861218,15.87280965"
Urbanice,Pardubice,Urbanicích,"49.97399392,15.56706778"
Voleč,Pardubice,Volči,"50.11739813,15.57276897"
Borotice,Znojmo,Boroticích,"48.85732782,16.24260654"
Božice,Znojmo,Božicích,"48.83690366,16.28875014"
Damnice,Znojmo,Damnicích,"48.92034600,16.37410107"
Dyje,Znojmo,Dyji,"48.84715947,16.11649568"
Hevlín,Znojmo,Hevlíně,"48.75212548,16.38130376"
Hnanice,Znojmo,Hnanicích,"48.79852998,15.98667496"
Horní Dubňany,Znojmo,Horních Dubňanech,"49.06339651,16.20128532"
Horní Dunajovice,Znojmo,Horních Dunajovicích,"48.95028220,16.16152763"
Horní Kounice,Znojmo,Horních Kounicích,"49.02603218,16.15227095"
Hostim,Znojmo,Hostimi,"49.01863458,15.89490063"
Jaroslavice,Znojmo,Jaroslavicích,"48.75660927,16.23350631"
Železná,Beroun,Železné,"50.00978218,14.09100201"
Želenice,Kladno,Želenicích,"50.21046494,14.16458785"
Újezdec,Mělník,Újezdci,"50.28342306,14.42096328"
Březovice,Mladá Boleslav,Březovicích,"50.47078319,14.73369474"
Klimkovice,Ostrava-město,Klimkovicích,"49.78808217,18.12589600"
Koryta,Mladá Boleslav,Korytech,"50.57201477,15.01181322"
Vrbice,Nymburk,Vrbici,"50.18097162,15.23058580"
Čilec,Nymburk,Čilci,"50.21945514,14.98172525"
Račice,Rakovník,Račicích,"50.02481528,13.92299907"
Závraty,České Budějovice,Závratech,"48.93812636,14.38151560"
Příbor,Nový Jičín,Příboře; Příboru,"49.64092677,18.14502204"
Starý Jičín,Nový Jičín,Starém Jičíně,"49.57685619,17.96172402"
Štramberk,Nový Jičín,Štramberku; Štramberce,"49.59179679,18.11744411"
Držovice,Prostějov,Držovicích,"49.49112267,17.13403127"
Zátor,Bruntál,Zátoru,"50.03413164,17.59301444"
Čeladná,Frýdek-Místek,Čeladné,"49.54871505,18.33761603"
Ostopovice,Brno-venkov,Ostopovicích,"49.16103076,16.54549833"
Popovice,Brno-venkov,Popovicích,"49.10712483,16.61610821"
Prštice,Brno-venkov,Pršticích,"49.11504837,16.47077284"
Sedlejov,Jihlava,Sedlejově,"49.22756188,15.49566991"
Brandýs nad Orlicí,Ústí nad Orlicí,Brandýsu nad Orlicí; Brandýse nad Orlicí,"50.00197603,16.28534055"
Čenkovice,Ústí nad Orlicí,Čenkovicích,"50.01140660,16.68246539"
Česká Rybná,Ústí nad Orlicí,České Rybné,"50.07185450,16.39230553"
Česká Třebová,Ústí nad Orlicí,České Třebové,"49.90191271,16.44733500"
Džbánov,Ústí nad Orlicí,Džbánově,"49.91639242,16.15955690"
Hejnice,Ústí nad Orlicí,Hejnicích,"50.05591246,16.39947826"
Horní Třešňovec,Ústí nad Orlicí,Horním Třešňovci,"49.93924763,16.60259281"
Hrušová,Ústí nad Orlicí,Hrušové,"49.91354622,16.19778418"
Jablonné nad Orlicí,Ústí nad Orlicí,Jablonném nad Orlicí,"50.02966130,16.60065494"
Kunvald,Ústí nad Orlicí,Kunvaldu; Kunvaldě,"50.12930130,16.50003294"
Letohrad,Ústí nad Orlicí,Letohradě; Letohradu,"50.03582776,16.49884812"
Libecina,Ústí nad Orlicí,Libecině,"49.88291845,16.11828189"
Lukavice,Ústí nad Orlicí,Lukavici,"50.06031613,16.48213644"
Litobratřice,Znojmo,Litobratřicích,"48.88708269,16.40249960"
Lubnice,Znojmo,Lubnici,"48.93951321,15.61386617"
Miroslavské Knínice,Znojmo,Miroslavských Knínicích,"48.97783568,16.32231139"
Našiměřice,Znojmo,Našiměřicích,"48.96856515,16.37275936"
Němčičky,Znojmo,Němčičkách,"48.94228551,16.08840925"
Onšov,Znojmo,Onšově,"48.90533064,15.83422818"
Podhořany u Ronova,Chrudim,Podhořanech u Ronova,"49.93618718,15.53677400"
Vrbice,Jičín,Vrbici,"50.36909065,15.42885670"
Řestoky,Chrudim,Řestokách,"49.92244533,15.91661398"
Slatiňany,Chrudim,Slatiňanech,"49.92113996,15.81382674"
Vrážné,Svitavy,Vrážném,"49.67591378,16.77805781"
Poříčí u Litomyšle,Svitavy,Poříčí u Litomyšle,"49.79837912,16.19384646"
Úhřetice,Chrudim,Úhřeticích,"49.97919420,15.86730171"
Včelákov,Chrudim,Včelákově,"49.81772416,15.88440952"
Lišany,Rakovník,Lišanech,"50.14743733,13.74200332"
Číhaň,Klatovy,Číhani,"49.34250330,13.42581780"
Mšecké Žehrovice,Rakovník,Mšeckých Žehrovicích,"50.17909511,13.92319958"
Borovy,Plzeň-jih,Borovech,"49.52520343,13.30237495"
Pochvalov,Rakovník,Pochvalově,"50.22752691,13.79434029"
Pšovlky,Rakovník,Pšovlkách,"50.10848598,13.59145420"
Nezdice,Plzeň-jih,Nezdicích,"49.53164867,13.31661096"
Honětice,Kroměříž,Honěticích,"49.20371893,17.25312169"
Senomaty,Rakovník,Senomatech,"50.09826849,13.65379065"
Vrbka,Kroměříž,Vrbce,"49.22823828,17.41313952"
Svojetín,Rakovník,Svojetíně,"50.19010849,13.62098784"
Záluží,Litoměřice,Záluží,"50.46014517,14.32255244"
Mostek,Ústí nad Orlicí,Mostku,"50.00942034,16.26510365"
Nasavrky,Ústí nad Orlicí,Nasavrkách; Nasavrcích,"50.02551761,16.25914303"
Oucmanice,Ústí nad Orlicí,Oucmanicích,"49.98939844,16.28182144"
Bojkovice,Uherské Hradiště,Bojkovicích,"49.03864405,17.81487521"
Boršice,Uherské Hradiště,Boršicích,"49.06255395,17.35085029"
Břestek,Uherské Hradiště,Břestku,"49.09489523,17.35592277"
Dolní Němčí,Uherské Hradiště,Dolním Němčí,"48.96837383,17.58585284"
Korytná,Uherské Hradiště,Korytné,"48.94097411,17.66519657"
Kudlovice,Uherské Hradiště,Kudlovicích,"49.13167490,17.45717428"
Modrá,Uherské Hradiště,Modré,"49.11203031,17.40340759"
Nivnice,Uherské Hradiště,Nivnici,"48.97464871,17.64757342"
Osvětimany,Uherské Hradiště,Osvětimanech,"49.05578421,17.24968750"
Salaš,Uherské Hradiště,Salaši,"49.14052883,17.34277827"
Sušice,Uherské Hradiště,Sušici,"49.12225398,17.45223095"
Uherský Brod,Uherské Hradiště,Uherském Brodě; Uherském Brodu,"49.02513343,17.64715330"
Zaječice,Chrudim,Zaječicích,"49.91002343,15.88416091"
Útěchov,Svitavy,Útěchově,"49.72841243,16.64459981"
Bašnice,Jičín,Bašnicích,"50.33452391,15.60510518"
Holedeč,Louny,Holedči,"50.27752264,13.56306960"
Liběšice,Louny,Liběšicích,"50.29365464,13.62154538"
Lišany,Louny,Lišanech,"50.34445185,13.64200018"
Brodeslavy,Plzeň-sever,Brodeslavech,"49.95376708,13.55705224"
Nepomyšl,Louny,Nepomyšli,"50.21817427,13.31329231"
Kunčice nad Labem,Trutnov,Kunčicích nad Labem,"50.58190861,15.61952590"
Lanžov,Trutnov,Lanžově,"50.38686325,15.76083337"
Skapce,Tachov,Skapcích,"49.65707472,12.99039285"
Libotov,Trutnov,Libotově,"50.39916631,15.81162099"
Vranov,Tachov,Vranově,"49.76448664,13.04196573"
Mostek,Trutnov,Mostku,"50.48627140,15.69630783"
Pilníkov,Trutnov,Pilníkově,"50.53251429,15.82028993"
Staré Buky,Trutnov,Starých Bukách,"50.53743705,15.84822122"
Svoboda nad Úpou,Trutnov,Svobodě nad Úpou,"50.62600371,15.81658065"
Špindlerův Mlýn,Trutnov,Špindlerově Mlýně,"50.72619635,15.60954704"
Trotina,Trutnov,Trotině,"50.40968218,15.71626174"
Třebihošť,Trutnov,Třebihošti,"50.43333246,15.70977714"
Těmice,Hodonín,Těmicích,"49.00156316,17.26492083"
Vnorovy,Hodonín,Vnorovech,"48.93097508,17.35049945"
Žarošice,Hodonín,Žarošicích,"49.04066744,16.96713801"
Jihlava,Jihlava,Jihlavě,"49.39615091,15.59127423"
Lipová,Zlín,Lipové,"49.12189698,17.87962163"
Bohuslavice,Jihlava,Bohuslavicích,"49.14947994,15.57583074"
Boršov,Jihlava,Boršově,"49.40399512,15.43422428"
Křekov,Zlín,Křekově,"49.12949183,17.96776860"
Dobroutov,Jihlava,Dobroutově,"49.46228876,15.73651903"
Vážany,Uherské Hradiště,Vážanech,"49.03446356,17.31193166"
Žítková,Uherské Hradiště,Žítkové,"48.98025238,17.88023231"
Moravec,Žďár nad Sázavou,Moravci,"49.44014146,16.14334086"
Nedvědice,Brno-venkov,Nedvědici,"49.45704867,16.33408906"
Nová Ves u Nového Města na Moravě,Žďár nad Sázavou,Nové Vsi u Nového Města na Moravě,"49.53996746,16.08413631"
Nový Jimramov,Žďár nad Sázavou,Novém Jimramově,"49.63465817,16.18725114"
Ořechov,Žďár nad Sázavou,Ořechově,"49.35041993,16.13896496"
Otín,Žďár nad Sázavou,Otíně,"49.36290787,15.90662842"
Pernštejnské Jestřabí,Brno-venkov,Pernštejnském Jestřabí,"49.40635026,16.32563284"
Pokojov,Žďár nad Sázavou,Pokojově,"49.48167435,15.90657074"
Račice,Žďár nad Sázavou,Račicích,"49.49731101,16.13928282"
Radenice,Žďár nad Sázavou,Radenicích,"49.42725671,16.06460102"
Radostín,Žďár nad Sázavou,Radostíně,"49.65275812,15.87580637"
Radostín nad Oslavou,Žďár nad Sázavou,Radostíně nad Oslavou,"49.46197069,15.96514065"
Rozseč,Žďár nad Sázavou,Rozseči,"49.36017341,16.21938287"
Řikonín,Brno-venkov,Řikoníně,"49.36442120,16.30572883"
Pnětluky,Louny,Pnětlukách,"50.25034445,13.70386548"
Hlohovčice,Domažlice,Hlohovčicích,"49.52084870,13.11380718"
Dražovice,Klatovy,Dražovicích,"49.22476515,13.60703352"
Vysoké Chvojno,Pardubice,Vysokém Chvojně; Vysokém Chvojnu,"50.10902903,15.97355656"
Vyšehněvice,Pardubice,Vyšehněvicích,"50.10235076,15.58370518"
Živanice,Pardubice,Živanicích,"50.06161697,15.64950392"
Bačetín,Rychnov nad Kněžnou,Bačetíně,"50.29981236,16.23338939"
Bílý Újezd,Rychnov nad Kněžnou,Bílém Újezdě; Bílém Újezdu,"50.23847668,16.22534083"
Byzhradec,Rychnov nad Kněžnou,Byzhradci,"50.21587555,16.19026866"
Deštné v Orlických horách,Rychnov nad Kněžnou,Deštném v Orlických horách,"50.30467582,16.35072508"
Vrbice,Břeclav,Vrbici,"48.91510633,16.89778680"
Bohuslavice u Zlína,Zlín,Bohuslavicích u Zlína,"49.16310428,17.63676504"
Březová,Zlín,Březové,"49.26026544,17.79125926"
Doubravy,Zlín,Doubravách,"49.14245011,17.66811034"
Dolní Vilímeč,Jihlava,Dolní Vilímči,"49.13594088,15.52045452"
Doupě,Jihlava,Doupěti,"49.23689025,15.43463970"
Horní Heřmanice,Třebíč,Horních Heřmanicích,"49.32939657,15.92041017"
Horní Vilémovice,Třebíč,Horních Vilémovicích,"49.29160366,15.88082854"
Hornice,Třebíč,Hornicích,"48.99523609,15.68036970"
Hrutov,Jihlava,Hrutově,"49.25549266,15.68021615"
Hvězdoňovice,Třebíč,Hvězdoňovicích,"49.21995744,15.76223386"
Jinošov,Třebíč,Jinošově,"49.23141358,16.19346878"
Kamenná,Třebíč,Kamenné,"49.27246857,16.06040570"
Tišnovská Nová Ves,Brno-venkov,Tišnovské Nové Vsi,"49.38391969,16.29360624"
Újezd,Žďár nad Sázavou,Újezdě; Újezdu,"49.50920451,15.87027675"
Velké Meziříčí,Žďár nad Sázavou,Velkém Meziříčí,"49.35525813,16.01226876"
Vratislávka,Brno-venkov,Vratislávce,"49.38644827,16.24405925"
Záblatí,Žďár nad Sázavou,Záblatí,"49.32078627,16.16635790"
Zvole,Žďár nad Sázavou,Zvoli,"49.49448136,16.17487713"
Žďárec,Brno-venkov,Žďárci,"49.37980160,16.26648444"
Brantice,Bruntál,Branticích,"50.06350673,17.62916887"
Břidličná,Bruntál,Břidličné,"49.91167613,17.37112591"
Heřmanovice,Bruntál,Heřmanovicích,"50.19330081,17.39783565"
Hošťálkovy,Bruntál,Hošťálkovech,"50.11160529,17.59958496"
Svratka,Žďár nad Sázavou,Svratce,"49.71070255,16.03218216"
Štítary,Znojmo,Štítarech,"48.93514720,15.84428941"
Přísnotice,Brno-venkov,Přísnoticích,"49.00315821,16.61351051"
Radostice,Brno-venkov,Radosticích,"49.13363760,16.47702030"
Rajhradice,Brno-venkov,Rajhradicích,"49.09206190,16.62934084"
Rudka,Brno-venkov,Rudce,"49.24250636,16.33101636"
Plasy,Plzeň-sever,Plasech; Plasích,"49.93459017,13.39041853"
Rochlov,Plzeň-sever,Rochlově,"49.73081879,13.14595755"
Zbůch,Plzeň-sever,Zbůchu,"49.67850478,13.22569471"
Bušovice,Rokycany,Bušovicích,"49.79561959,13.53471346"
Libuň,Jičín,Libuni,"50.49820896,15.29858851"
Svatojanský Újezd,Jičín,Svatojanském Újezdě; Svatojanském Újezdu,"50.42599937,15.54302078"
Dřevěnice,Jičín,Dřevěnici,"50.45232105,15.44719817"
Šerkovice,Brno-venkov,Šerkovicích,"49.38561143,16.42998438"
Štěpánovice,Brno-venkov,Štěpánovicích,"49.37298407,16.38760429"
Těšany,Brno-venkov,Těšanech,"49.03958237,16.77003322"
Újezd u Brna,Brno-venkov,Újezdě u Brna; Újezdu u Brna,"49.10437198,16.75737823"
Újezd u Rosic,Brno-venkov,Újezdě u Rosic; Újezdu u Rosic,"49.22244737,16.25366219"
Vojkovice,Brno-venkov,Vojkovicích,"49.05140798,16.60821053"
Všechovice,Brno-venkov,Všechovicích,"49.35714437,16.49410191"
Vysoké Popovice,Brno-venkov,Vysokých Popovicích,"49.18306036,16.28487557"
Zastávka,Brno-venkov,Zastávce,"49.18802901,16.36311246"
Jindřichov,Bruntál,Jindřichově,"50.25183822,17.51909830"
Hnojník,Frýdek-Místek,Hnojníku,"49.68226432,18.54131856"
Jablunkov,Frýdek-Místek,Jablunkově,"49.57669135,18.76461150"
Čakovičky,Mělník,Čakovičkách,"50.23167160,14.53145808"
Lučina,Frýdek-Místek,Lučině,"49.71589425,18.44969785"
Vševily,Příbram,Vševilech,"49.56526072,13.88258417"
Kňovice,Příbram,Kňovicích,"49.68837669,14.40035479"
Roztoky,Rakovník,Roztokách,"50.02680322,13.86793524"
Heřmaň,České Budějovice,Heřmani,"48.91143345,14.50366729"
Kamenný Malíkov,Jindřichův Hradec,Kamenném Malíkově,"49.21195790,15.12228764"
Tavíkovice,Znojmo,Tavíkovicích,"49.03378501,16.10316985"
Troskotovice,Brno-venkov,Troskotovicích,"48.91905122,16.43754077"
Tulešice,Znojmo,Tulešicích,"49.03858263,16.20713934"
Vémyslice,Znojmo,Vémyslicích,"49.02207670,16.25680058"
Vevčice,Znojmo,Vevčicích,"48.96224605,16.04443536"
Višňové,Znojmo,Višňovém,"48.98245382,16.15025971"
Výrovice,Znojmo,Výrovicích,"48.92829539,16.12029091"
Zblovice,Znojmo,Zblovicích,"48.95778631,15.70521377"
Dobřív,Rokycany,Dobřívě,"49.71575012,13.68686497"
Holoubkov,Rokycany,Holoubkově,"49.77607658,13.69251263"
Podlesí,Ústí nad Orlicí,Podlesí,"50.01704840,16.28133579"
Pustina,Ústí nad Orlicí,Pustině,"49.89951513,16.10495438"
Skořenice,Ústí nad Orlicí,Skořenicích,"50.03129366,16.22201947"
Sruby,Ústí nad Orlicí,Srubech,"49.99691102,16.17431083"
Strážná,Ústí nad Orlicí,Strážné,"49.91142237,16.71081665"
Nové Město nad Metují,Náchod,Novém Městě nad Metují; Novém Městu nad Metují,"50.34459888,16.15154722"
Bezděčí u Trnávky,Svitavy,Bezděčí u Trnávky,"49.69242589,16.76347580"
Rožnov,Náchod,Rožnově,"50.33808941,15.86136703"
Rychnovek,Náchod,Rychnovku,"50.35740735,15.97039617"
Slavoňov,Náchod,Slavoňově,"50.34378735,16.20401863"
Stárkov,Náchod,Stárkově,"50.53395737,16.15826589"
Velké Petrovice,Náchod,Velkých Petrovicích,"50.51728676,16.20635563"
Ludkovice,Zlín,Ludkovicích,"49.11473754,17.72661700"
Nedašov,Zlín,Nedašově,"49.10777788,18.07036156"
Podkopná Lhota,Zlín,Podkopné Lhotě,"49.30575803,17.83141900"
Slavičín,Zlín,Slavičíně,"49.08798379,17.87349334"
Podhradí nad Dyjí,Znojmo,Podhradí nad Dyjí,"48.90029435,15.68641785"
Podmolí,Znojmo,Podmolí,"48.85068206,15.94006522"
Podmyče,Znojmo,Podmyčích,"48.88764786,15.78224143"
Prosiměřice,Znojmo,Prosiměřicích,"48.90274088,16.19196560"
Rudlice,Znojmo,Rudlicích,"48.94852843,16.06570024"
Slup,Znojmo,Slupi,"48.78154219,16.19917989"
Stálky,Znojmo,Stálkách,"48.87017581,15.68468040"
Strachotice,Znojmo,Strachoticích,"48.79617527,16.17229377"
Šanov,Znojmo,Šanově,"48.80092113,16.37857601"
Kostelec nad Orlicí,Rychnov nad Kněžnou,Kostelci nad Orlicí,"50.12270088,16.21325418"
Kounov,Rychnov nad Kněžnou,Kounově,"50.29880564,16.25812842"
Nová Ves,Rychnov nad Kněžnou,Nové Vsi,"50.13072953,16.05017382"
Ohnišov,Rychnov nad Kněžnou,Ohnišově,"50.32262716,16.21388700"
Olešnice,Rychnov nad Kněžnou,Olešnici,"50.14424724,16.14857115"
Osečnice,Rychnov nad Kněžnou,Osečnici,"50.25719977,16.30697168"
Želetice,Znojmo,Želeticích,"48.93636616,16.18281314"
Žerotice,Znojmo,Žeroticích,"48.92674879,16.16874643"
Malíč,Litoměřice,Malíči,"50.54361361,14.08210165"
Michalovice,Litoměřice,Michalovicích,"50.53666035,14.08202857"
Píšťany,Litoměřice,Píšťanech,"50.51930528,14.06919174"
Cítoliby,Louny,Cítolibech,"50.33281836,13.81222190"
Hradčany,Brno-venkov,Hradčanech,"49.32789458,16.44218907"
Javůrek,Brno-venkov,Javůrku,"49.25556055,16.36219812"
Jinačovice,Brno-venkov,Jinačovicích,"49.26783202,16.52950559"
Kobylnice,Brno-venkov,Kobylnicích,"49.13805842,16.73183642"
Kupařovice,Brno-venkov,Kupařovicích,"49.04324473,16.49071874"
Ledce,Brno-venkov,Ledcích,"49.05153227,16.55702318"
Zaloňov,Náchod,Zaloňově,"50.37401043,15.88792835"
Žďárky,Náchod,Žďárkách,"50.46825710,16.22742600"
Lázně Bohdaneč,Pardubice,Lázních Bohdanči,"50.07564855,15.67985197"
Bošovice,Vyškov,Bošovicích,"49.05353195,16.83676927"
Březina,Vyškov,Březině,"49.36841800,16.96086246"
Drnovice,Vyškov,Drnovicích,"49.27631411,16.95148182"
Hoštice-Heroltice,Vyškov,Hošticích-Herolticích,"49.28718356,17.06654892"
Ivanovice na Hané,Vyškov,Ivanovicích na Hané,"49.30543387,17.09345059"
Křenovice,Vyškov,Křenovicích,"49.14218380,16.82933156"
Milešovice,Vyškov,Milešovicích,"49.08276780,16.85425754"
Nemojany,Vyškov,Nemojanech,"49.24673258,16.91352841"
Otnice,Vyškov,Otnicích,"49.08643998,16.81443639"
Pustiměř,Vyškov,Pustiměři,"49.32253187,17.02794409"
Šatov,Znojmo,Šatově,"48.79321715,16.00991837"
Rousínov,Vyškov,Rousínově,"49.20130241,16.88216094"
Slavkov u Brna,Vyškov,Slavkově u Brna,"49.15327539,16.87650437"
Švábenice,Vyškov,Švábenicích,"49.27841633,17.12341076"
Velešovice,Vyškov,Velešovicích,"49.17918295,16.84914931"
Žatčany,Brno-venkov,Žatčanech,"49.08791078,16.73375224"
Želešice,Brno-venkov,Želešicích,"49.11691453,16.58138513"
Bavory,Břeclav,Bavorech,"48.83471783,16.62224125"
Borkovany,Břeclav,Borkovanech,"49.02818717,16.81011139"
Tlumačov,Zlín,Tlumačově,"49.25351139,17.49560112"
Trnava,Zlín,Trnavě,"49.29603060,17.84192408"
Velký Ořechov,Zlín,Velkém Ořechově,"49.10936739,17.66844176"
Bzenec,Hodonín,Bzenci,"48.97337625,17.26685294"
Dubňany,Hodonín,Dubňanech,"48.91695531,17.09004044"
Hroznová Lhota,Hodonín,Hroznové Lhotě,"48.90785053,17.41697029"
Javorník,Hodonín,Javorníku; Javorníce,"48.86208137,17.53338865"
Kozojídky,Hodonín,Kozojídkách,"48.91865471,17.39962258"
Litostrov,Brno-venkov,Litostrově,"49.22441124,16.32943531"
Lukovany,Brno-venkov,Lukovanech,"49.16250721,16.29786426"
Dyjice,Jihlava,Dyjici,"49.17467890,15.49388755"
Čížov,Jihlava,Čížově,"49.35162635,15.58840846"
Hladov,Jihlava,Hladově,"49.21467600,15.61137488"
Horní Dubenky,Jihlava,Horních Dubenkách,"49.25963580,15.31702503"
Borovná,Jihlava,Borovné,"49.16465213,15.39462695"
Hostětice,Jihlava,Hostěticích,"49.19171706,15.41407306"
Horní Myslová,Jihlava,Horní Myslové,"49.16546951,15.42257821"
Olší,Jihlava,Olší,"49.15550272,15.37324778"
Hubenov,Jihlava,Hubenově,"49.39214479,15.46905139"
Jamné,Jihlava,Jamném,"49.43117867,15.72387530"
Jersín,Jihlava,Jersíně,"49.42130184,15.83069461"
Ježená,Jihlava,Ježené,"49.41634687,15.46558546"
Jihlávka,Jihlava,Jihlávce,"49.26118126,15.29249586"
Knínice,Jihlava,Knínicích,"49.09405843,15.60406697"
Krasonice,Jihlava,Krasonicích,"49.11507949,15.61605804"
Lhotka,Jihlava,Lhotce,"49.20914843,15.38566820"
Malý Beranov,Jihlava,Malém Beranově,"49.39654366,15.63772203"
Markvartice,Jihlava,Markvarticích,"49.17823781,15.61711681"
Meziříčko,Žďár nad Sázavou,Meziříčku,"49.40542953,15.84453930"
Milíčov,Jihlava,Milíčově,"49.39552154,15.39304537"
Mirošov,Jihlava,Mirošově,"49.38948479,15.46347475"
Mrákotín,Jihlava,Mrákotíně,"49.18951069,15.37611192"
Mysletice,Jihlava,Mysleticích,"49.14262559,15.38943799"
Lomy,Třebíč,Lomech,"49.06556690,15.60109330"
Olšany,Jihlava,Olšanech,"49.18617148,15.56600630"
Ořechov,Jihlava,Ořechově,"49.19997786,15.53198307"
Panské Dubenky,Jihlava,Panských Dubenkách,"49.21958464,15.26583571"
Pavlov,Jihlava,Pavlově,"49.24284218,15.55712865"
Znojmo,Znojmo,Znojmě; Znojmu,"48.85554067,16.04879605"
Blanné,Znojmo,Blanném,"48.99198079,15.88325014"
Blížkovice,Znojmo,Blížkovicích,"48.99980748,15.83482313"
Vrbice,Litoměřice,Vrbici,"50.48327452,14.28658940"
Vrutice,Litoměřice,Vrutici,"50.50218990,14.28984193"
Židovice,Litoměřice,Židovicích,"50.44636319,14.23314753"
Žitenice,Litoměřice,Žitenicích,"50.55536312,14.15674388"
Hlavenec,Praha-východ,Hlavenci,"50.23835842,14.70183420"
Lozice,Chrudim,Lozicích,"49.91651581,16.02384321"
Miřetice,Chrudim,Miřeticích,"49.84178222,15.88551581"
Morašice,Chrudim,Morašicích,"49.93473789,15.70902637"
Branžež,Mladá Boleslav,Branžeži,"50.50764357,15.05799146"
Podbřezí,Rychnov nad Kněžnou,Podbřezí,"50.25992448,16.21482286"
